client_number,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio
708508758,"Attrited Customer",62,F,Graduate,Married,"Less than $40K",Blue,1438,0,0
708300483,"Attrited Customer",66,F,Doctorate,Married,Unknown,Blue,7882,605,0.077
779471883,"Attrited Customer",54,F,Graduate,Married,"Less than $40K",Blue,1438,808,0.562
714374133,"Attrited Customer",56,M,Graduate,Married,"$120K +",Blue,15769,0,0
712030833,"Attrited Customer",48,M,Graduate,Married,"$60K - $80K",Silver,34516,0,0
711013983,"Attrited Customer",55,F,Unknown,Married,"$40K - $60K",Blue,2158,0,0
711887583,"Attrited Customer",47,M,Unknown,Married,"$80K - $120K",Blue,5449,1628,0.299
720201033,"Attrited Customer",53,M,Graduate,Married,"$80K - $120K",Blue,11669,2227,0.191
789322833,"Attrited Customer",48,F,"High School",Married,"Less than $40K",Blue,8025,0,0
767712558,"Attrited Customer",59,M,College,Single,"$60K - $80K",Blue,14979,0,0
712950783,"Attrited Customer",48,F,Uneducated,Married,"Less than $40K",Blue,2732,0,0
713741358,"Attrited Customer",46,M,Graduate,Single,"$80K - $120K",Blue,32975,2517,0.076
708953883,"Attrited Customer",53,M,Unknown,Married,"$80K - $120K",Blue,3212,0,0
708868233,"Attrited Customer",68,M,"High School",Married,"Less than $40K",Blue,1438,900,0.626
719808558,"Attrited Customer",55,F,Graduate,Married,"Less than $40K",Blue,1438,0,0
711551958,"Attrited Customer",59,M,Post-Graduate,Married,"$60K - $80K",Blue,1438,0,0
772336458,"Attrited Customer",60,F,Uneducated,Married,"$40K - $60K",Blue,1438,1025,0.713
720997383,"Attrited Customer",52,M,Uneducated,Married,"$80K - $120K",Blue,1857,1833,0.987
710299608,"Attrited Customer",53,F,Unknown,Married,"Less than $40K",Blue,2859,2517,0.88
821797008,"Attrited Customer",49,M,College,Married,"$40K - $60K",Blue,1438,0,0
708874533,"Attrited Customer",45,F,College,Married,"Less than $40K",Blue,3387,0,0
712125258,"Attrited Customer",46,M,"High School",Married,"$120K +",Blue,2442,0,0
772390908,"Attrited Customer",59,M,"High School",Single,"$40K - $60K",Blue,3616,1054,0.291
778867533,"Attrited Customer",59,F,Post-Graduate,Married,"$40K - $60K",Blue,1438,0,0
771809733,"Attrited Customer",64,F,"High School",Married,"$40K - $60K",Blue,3353,0,0
719211558,"Attrited Customer",45,M,Graduate,Single,"$60K - $80K",Blue,3401,0,0
718621608,"Attrited Customer",54,F,"High School",Married,Unknown,Blue,6094,0,0
720272958,"Attrited Customer",48,M,"High School",Married,"$120K +",Blue,27126,0,0
709173108,"Attrited Customer",54,F,Graduate,Married,Unknown,Blue,2532,2221,0.877
708330858,"Attrited Customer",57,M,Graduate,Married,"$120K +",Blue,8249,1381,0.167
709278258,"Attrited Customer",54,M,Unknown,Married,"$40K - $60K",Blue,2902,2517,0.867
714871683,"Attrited Customer",58,M,Uneducated,Married,"$40K - $60K",Blue,1438,537,0.373
708288108,"Attrited Customer",43,M,Post-Graduate,Unknown,"$80K - $120K",Blue,5639,1547,0.274
717354558,"Attrited Customer",57,M,Uneducated,Married,"$120K +",Blue,3106,1120,0.361
714639783,"Attrited Customer",42,M,College,Married,"$60K - $80K",Blue,13450,0,0
778868958,"Attrited Customer",42,F,Graduate,Married,"Less than $40K",Blue,1929,1673,0.867
710940183,"Attrited Customer",49,F,Graduate,Married,"Less than $40K",Blue,2185,0,0
709547658,"Attrited Customer",39,M,Uneducated,Single,"$60K - $80K",Blue,13961,1299,0.093
712159083,"Attrited Customer",58,F,Unknown,Married,"Less than $40K",Blue,2536,0,0
711791583,"Attrited Customer",52,F,Graduate,Single,"Less than $40K",Blue,2317,0,0
712315683,"Attrited Customer",53,F,Uneducated,Single,"Less than $40K",Blue,1981,1518,0.766
789842283,"Attrited Customer",54,M,Graduate,Married,"$60K - $80K",Blue,4320,0,0
719418933,"Attrited Customer",53,M,Uneducated,Married,"$80K - $120K",Blue,4503,0,0
781794708,"Attrited Customer",35,M,Post-Graduate,Unknown,"$80K - $120K",Blue,17030,1911,0.112
714272658,"Attrited Customer",43,F,Uneducated,Single,"Less than $40K",Blue,2962,2517,0.85
767294658,"Attrited Customer",56,M,College,Single,"$120K +",Blue,16867,0,0
708241233,"Attrited Customer",52,F,Post-Graduate,Single,"Less than $40K",Blue,2972,0,0
716223708,"Attrited Customer",45,F,Uneducated,Single,Unknown,Blue,4028,710,0.176
719443683,"Attrited Customer",50,M,Unknown,Single,"$120K +",Blue,27512,2137,0.078
779610033,"Attrited Customer",58,M,College,Married,"$80K - $120K",Blue,12151,1799,0.148
709345008,"Attrited Customer",53,F,Doctorate,Married,Unknown,Blue,1438,0,0
721417233,"Attrited Customer",45,M,Graduate,Married,"$60K - $80K",Blue,1438,0,0
769137108,"Attrited Customer",43,F,Post-Graduate,Married,"Less than $40K",Blue,1438,0,0
717640083,"Attrited Customer",59,M,"High School",Married,"$60K - $80K",Blue,6705,0,0
794977533,"Attrited Customer",62,M,"High School",Married,"$60K - $80K",Blue,8077,0,0
752604633,"Attrited Customer",57,M,College,Married,"$40K - $60K",Blue,6462,0,0
711242058,"Attrited Customer",48,M,Unknown,Single,"$80K - $120K",Blue,11862,2517,0.212
718121658,"Attrited Customer",56,M,College,Married,"$60K - $80K",Blue,1704,0,0
711593808,"Attrited Customer",55,M,"High School",Married,"$60K - $80K",Blue,1438,0,0
718731183,"Attrited Customer",61,M,Unknown,Married,"$40K - $60K",Blue,5472,788,0.144
713865333,"Attrited Customer",45,F,Uneducated,Married,"Less than $40K",Blue,4908,0,0
797707008,"Attrited Customer",44,F,Doctorate,Married,"Less than $40K",Blue,7222,0,0
720370533,"Attrited Customer",55,M,Uneducated,Married,"$60K - $80K",Blue,2323,0,0
718675158,"Attrited Customer",55,F,Unknown,Married,"Less than $40K",Blue,1438,361,0.251
720605808,"Attrited Customer",53,F,Graduate,Single,"Less than $40K",Blue,1438,0,0
770724558,"Attrited Customer",42,M,College,Married,"$60K - $80K",Blue,7340,0,0
719309958,"Attrited Customer",55,M,Doctorate,Single,"$80K - $120K",Blue,20865,0,0
